resource_id,name,resource_type,canonical_url,maintainer,version_or_release,checked_at,task_fit,input,output,code_license,weights_license,data_license,commercial_rights,redistribution_rights,attribution,privacy_consent,phi_pii_risk,representation,sample_count,labels,quality_evidence,maintenance,supply_chain_risk,mobile_feasibility,cloud_feasibility,latency_size_evidence,status,permitted_use,reason,evidence_urls
osr_torchvision_027,TorchVision,framework,https://github.com/pytorch/vision,PyTorch,0.27.0,2026-07-14,vision architectures,images,tensors/models,BSD-3-Clause,n/a,n/a,yes for code,yes for code,retain notices,n/a,none,n/a,n/a,n/a,official tests/releases,maintained,official release pin required,possible,yes,not measured,accepted_for_evaluation,architecture definitions with weights=None,Pretrained weights and training data require independent review,https://github.com/pytorch/vision
osr_mobilenetv3_small_arch,MobileNetV3 Small,architecture,https://docs.pytorch.org/vision/master/models/mobilenetv3.html,PyTorch,torchvision 0.27.0,2026-07-14,FaceAtlas mobile backbone,images,feature tensors,BSD-3-Clause,none,none,yes for code,yes for code,retain notices,n/a,high if trained on faces,unknown,0,none,official implementation,maintained,release pin required,likely,yes,not measured,evaluation_candidate,uninitialized architecture only,No legitimate acne training set; do not train or activate,https://docs.pytorch.org/vision/master/models/mobilenetv3.html
osr_efficientnet_b0_arch,EfficientNet-B0,architecture,https://docs.pytorch.org/vision/master/models/efficientnet.html,PyTorch,torchvision 0.27.0,2026-07-14,FaceAtlas cloud/mobile comparison,images,feature tensors,BSD-3-Clause,none,none,yes for code,yes for code,retain notices,n/a,high if trained on faces,unknown,0,none,official implementation,maintained,release pin required,possible,yes,not measured,evaluation_candidate,uninitialized architecture only,No legitimate acne training set; do not train or activate,https://docs.pytorch.org/vision/master/models/efficientnet.html
osr_mediapipe_01035,MediaPipe,framework,https://github.com/google-ai-edge/mediapipe,Google,0.10.35,2026-07-14,capture framing/quality,camera frames,landmark/framing signals,Apache-2.0,asset-specific,n/a,yes for code,yes for code,retain notices,local capture only,high,not assessed,n/a,not lesion labels,official project,maintained,bundled asset terms require verification,yes,yes,not measured,evaluation_candidate,capture/framing readiness only,Never use or describe as lesion detection,https://github.com/google-ai-edge/mediapipe
osr_ort_rn_1244,onnxruntime-react-native,runtime,https://onnxruntime.ai/docs/get-started/with-javascript/react-native.html,Microsoft,1.24.4,2026-07-14,local model inference,approved ONNX artifact,tensors,MIT,n/a,n/a,yes,yes,retain notice,device local,depends on model,depends on model,n/a,n/a,official runtime documentation,maintained,pin package and verify transitive supply chain,requires Expo development build rather than Expo Go,yes,not measured,evaluation_candidate,checksum-verified approved artifacts only,Requires operator parity checksum corruption latency memory battery cold-start and physical-device tests,https://onnxruntime.ai/docs/get-started/with-javascript/react-native.html|https://docs.expo.dev/develop/development-builds/introduction/
osr_sklearn_190,scikit-learn,framework,https://scikit-learn.org/stable/,scikit-learn developers,1.9.0,2026-07-14,interpretable baselines/calibration,tabular features,models/metrics,BSD-3-Clause,n/a,n/a,yes,yes,retain notice,deidentified governed snapshots only,depends on data,depends on cohort,n/a,n/a,official test suite,maintained,pin wheels and hashes,no,yes,not measured,accepted_for_evaluation,baseline and calibration pipelines only,No training until legitimate cohort exists,https://scikit-learn.org/stable/
osr_fastapi_01156,FastAPI,framework,https://fastapi.tiangolo.com/,FastAPI maintainers,0.115.6,2026-07-14,ML HTTP service,validated JSON,HTTP responses,MIT,n/a,n/a,yes,yes,retain notice,server only,low,n/a,n/a,n/a,repo tests,maintained,pinned dependency,no,yes,measured by service tests,accepted,current canonical ML HTTP service,Already pinned in serving requirements,https://fastapi.tiangolo.com/
osr_pydantic_2104,Pydantic,framework,https://docs.pydantic.dev/,Pydantic maintainers,2.10.4,2026-07-14,boundary validation,Python objects,validated contracts,MIT,n/a,n/a,yes,yes,retain notice,n/a,low,n/a,n/a,n/a,repo tests,maintained,pinned dependency,no,yes,not applicable,accepted,strict request/response validation,Already pinned in serving requirements,https://docs.pydantic.dev/
osr_cvat_2640,CVAT,annotation_platform,https://github.com/cvat-ai/cvat,CVAT.ai,2.64.0,2026-07-14,FaceAtlas annotation,private images,versioned boxes polygons and review state,MIT,n/a,n/a,yes,yes,retain notice,self-host inside protected data boundary,high,depends on cohort,n/a,taxonomy/QC,official release,maintained,pin release and review deployment supply chain,no,yes,not measured,evaluation_candidate,annotation workflow only after data approval,Preferred annotation candidate but supplies no image rights and needs privacy/operations approval,https://github.com/cvat-ai/cvat
osr_labelstudio_1230,Label Studio,annotation_platform,https://github.com/HumanSignal/label-studio,HumanSignal,1.23.0,2026-07-14,alternative FaceAtlas annotation,private images,versioned annotations,Apache-2.0,n/a,n/a,yes,yes,retain notices,self-host inside protected data boundary,high,depends on cohort,n/a,taxonomy/QC,official release,maintained,pin stable release; avoid 1.24 nightly,no,yes,not measured,evaluation_candidate,alternative annotation workflow only,Do not deploy beside CVAT without measured need; supplies no data rights,https://github.com/HumanSignal/label-studio
osr_fiftyone_1150,FiftyOne,quality_tool,https://github.com/voxel51/fiftyone,Voxel51,1.15.0,2026-07-14,dataset QA,private image dataset,duplicate label and slice quality views,Apache-2.0,n/a,n/a,yes,yes,retain notices,requires private processing review,high,depends on cohort,n/a,QA only,official release,maintained,pin release and review dependencies,no,yes,not measured,evaluation_candidate,dataset QA only,Not a training-data licence label source or production predictor,https://github.com/voxel51/fiftyone
osr_heavy_extras,Ray/Kubernetes/Kubeflow/Feast/Convex,architecture bundle,n/a,various,n/a,2026-07-14,no measured need,n/a,n/a,various,n/a,n/a,unknown,unknown,various,n/a,varies,n/a,n/a,n/a,n/a,varies,large supply-chain and operational expansion,no,possible,n/a,rejected,none,Architecture conflict or no measured need; use existing Supabase/Cloud Run/Vertex stack,n/a
